,Unnamed: 0,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Reference,Tag
0,442,Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCOC(C)=O,442.0,469.0,,0.014,,doi:10.1016/j.dyepig.2008.12.009,443
1,430,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CCCCOCCCC,442.0,477.0,,0.46,,doi:10.1016/j.dyepig.2008.12.009,431
2,358,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,C1CCOC1,443.0,,,0.0,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,359
3,158,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,437.0,491.0,,0.52,4.06069784,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",159
4,501,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c7c(cccc57)C(=O)N(CCCCCC)C6=O)s4)ccc(c23)C1=O,ClC(Cl)Cl,395.0,495.0,0.014276342,0.15,4.344,http://dx.doi.org/10.1016/j.dyepig.2012.07.018,502
5,437,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,C1COCCO1,443.0,478.0,,0.51,,doi:10.1016/j.dyepig.2008.12.009,438
6,405,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(=O)C(C)(C)C,505.0,517.0,,0.69,,https://doi.org/10.1016/j.dyepig.2019.01.019,406
7,491,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,OCC(F)(F)F,509.0,553.0,150.7,0.28,,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,492
8,420,C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CC#N,396.0,534.0,1.82,0.16,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,421
9,118,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,591.0,2.6,0.78,4.763427994,https://doi.org/10.1016/j.dyepig.2018.02.016,119
10,276,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,C1CCCCC1,,,2.76,0.49,,https://doi.org/10.1016/S0009-2614(02)00784-4,277
11,477,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,Cc1ccccc1,527.0,603.0,4.41,0.16,4.562292864,doi:10.1016/j.dyepig.2011.05.004,478
12,147,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437.0,490.0,,0.93,4.004321374,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",148
13,403,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC#N,501.0,513.0,,0.55,,https://doi.org/10.1016/j.dyepig.2019.01.019,404
14,483,CC(=O)OCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOC(C)=O)C3=O,CO,604.0,641.0,8.0,0.37,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,484
15,97,c1ccc2ccccc2c1,C1CCCCC1,288.73010785,329.72895,132.0,0.325,3.58,"https://doi.org/10.3390/molecules17055108, https://doi.org/10.1016/S1386-1425(02)00207-X",98
16,475,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,499.0,563.0,4.0,0.34,4.544068044,doi:10.1016/j.dyepig.2011.05.004,476
17,441,CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCOC(C)=O,451.0,471.0,3.8,0.5,,doi:10.1016/j.dyepig.2008.12.009,442
18,79,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558.0,573.0,0.82,0.11,,doi/10.1021/ja00455a017,80
19,143,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488.0,597.0,5.52,0.1,3.982723388,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",144
20,162,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,451.0,461.0,1.89,0.72,4.81,https://doi.org/10.1016/j.dyepig.2017.09.003,163
21,347,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,368.0,493.0,,0.0024,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,348
22,473,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,472.0,544.0,4.24,0.43,4.353531559,doi:10.1016/j.dyepig.2011.05.004,474
23,357,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCOCC,433.0,643.0,0.5,0.0039,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,358
24,348,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,376.0,541.0,2.82,0.1112,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,349
25,28,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,450.5,503.8,2.875,0.43,,"DOI: 10.1021/j100248a024, https://doi.org/10.1016/j.cplett.2005.03.070",29
26,289,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(O)CO,,,1.95,0.34,,https://doi.org/10.1016/S0009-2614(02)00784-4,290
27,366,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOC(C)=O,446.0,699.0,0.15,0.0001,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,367
28,148,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,432.0,485.0,,0.83,3.977723605,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",149
29,303,Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC#N,401.0,,0.07,0.0041,3.733197265,https://doi.org/10.1016/0022-2313(92)90006-U,304
30,154,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,Cc1ccccc1,492.0,573.0,,0.06,3.925312091,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",155
31,139,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,473.0,2.5,0.38,4.17,https://doi.org/10.1016/j.dyepig.2018.04.037,140
32,153,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,480.0,555.0,,0.06,3.970811611,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",154
33,110,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0,2.0,0.85,4.65,https://doi.org/10.3390/molecules17055108,111
34,317,Nc1ccccn1,CC#N,,,5.0,0.25,,DOI: 10.1021/j100558a015,318
35,409,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CO,503.0,515.0,,0.68,,https://doi.org/10.1016/j.dyepig.2019.01.019,410
36,350,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,369.0,585.0,6.6,0.0886,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,351
37,482,CCCCCCCCCCN1C(=O)c2cc(NCCCOCCO)c3c4c(cc(NCCCOCCO)c(c24)C1=O)C(=O)N(CCCCCCCCCC)C3=O,CO,604.0,642.0,7.8,0.43,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,483
38,127,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343.0,457.0,1.233,0.89,5.189770956,https://doi.org/10.1016/j.dyepig.2018.02.012,128
39,397,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,503.0,516.0,,0.72,,https://doi.org/10.1016/j.dyepig.2019.01.019,398
40,76,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556.0,571.0,0.655,0.08,,doi/10.1021/ja00455a017,77
41,302,O=c1c2ccccc2sc2ccccc12,OCCO,382.0,,8.0,0.41,3.73239376,https://doi.org/10.1016/0022-2313(92)90006-U,303
42,372,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,463.0,,,0.0,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,373
43,394,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,504.0,516.0,5.78,0.98,,https://doi.org/10.1016/j.dyepig.2019.01.019,395
44,27,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,366.0,463.0,5.165,0.57,,"DOI: 10.1021/j100248a024, 10.1021/jp003157m",28
45,498,COc1nnc(Cl)nn1,ClCCl,520.0,567.0,160.0,0.38,,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,499
46,320,Nc1cccnc1,CCO,,,6.5,0.14,,DOI: 10.1021/j100558a015,321
47,106,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,327.0,10.0,0.65,3.71,https://doi.org/10.3390/molecules17055108,107
48,114,N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350.0,496.0,20.6,0.55,,https://doi.org/10.1002/chem.201404745,115
49,184,CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,548.0,562.0,0.3,0.04,,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html,185
50,481,COCCOCCOCCNc1cc2c3c(c(NCCOCCOCCOC)cc4c3c1C(=O)N(CCOCCOCCOC)C4=O)C(=O)N(CCOCCOCCOC)C2=O,ClC(Cl)Cl,610.0,640.0,10.4,0.56,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,482
51,460,CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,460.0,519.0,7.34,0.56,4.198657087,doi:10.1016/j.dyepig.2011.05.004,461
52,82,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561.0,576.0,1.015,0.14,,doi/10.1021/ja00455a017,83
53,444,COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CCOC(C)=O,441.0,477.0,3.5,0.47,,doi:10.1016/j.dyepig.2008.12.009,445
54,424,C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CC#N,413.0,569.0,0.57,0.034,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,425
55,465,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CS(C)=O,541.0,654.0,3.72,0.001,4.626340367,doi:10.1016/j.dyepig.2011.05.004,466
56,195,c1ccc2cc3ccccc3cc2c1,C1CCCCC1,358.570991975,396.9160212,5.0,0.3249999999999999,,"10.1021/ac062160k, https://doi.org/10.1016/S1386-1425(02)00207-X, 10.1021/ja508813v, Fluorophores",196
57,138,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,501.0,1.5,0.13,4.29,https://doi.org/10.1016/j.dyepig.2018.04.037,139
58,22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421.0,531.0,3.98,0.62,,"DOI: 10.1021/j100248a024, http://dx.doi.org/10.1016/j.dyepig.2013.09.008",23
59,428,Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,443.0,475.0,,0.12,,doi:10.1016/j.dyepig.2008.12.009,429
60,299,O=c1c2ccccc2sc2ccccc12,CC#N,,,1.5,0.066,,https://doi.org/10.1016/0022-2313(92)90006-U,300
61,396,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,500.0,513.0,,0.54,,https://doi.org/10.1016/j.dyepig.2019.01.019,397
62,279,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCOCC,,,4.45,0.73,,https://doi.org/10.1016/S0009-2614(02)00784-4,280
63,73,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548.0,566.0,0.095,0.018,,doi/10.1021/ja00455a017,74
64,391,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,502.0,514.0,,0.74,,https://doi.org/10.1016/j.dyepig.2019.01.019,392
65,145,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,427.0,465.0,,0.61,4.08278537,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",146
66,128,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343.0,459.0,2.496,0.92,5.551498792,https://doi.org/10.1016/j.dyepig.2018.02.012,129
67,77,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527.0,550.0,3.62,0.69,,doi/10.1021/ja00455a017,78
68,137,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,357.0,494.0,5.5,0.02,4.02,https://doi.org/10.1016/j.dyepig.2018.04.037,138
69,406,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCOC(C)=O,503.0,511.0,,0.64,,https://doi.org/10.1016/j.dyepig.2019.01.019,407
70,494,C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,ClCCl,526.0,573.0,63.8,0.18,2.73239376,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,495
71,318,Nc1cccnc1,C1CCCCC1,,,26.5,0.02,,DOI: 10.1021/j100558a015,319
72,149,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,497.0,594.0,,0.04,3.994317153,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",150
73,386,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,500.0,511.0,3.73,0.56,,"https://doi.org/10.1016/j.dyepig.2019.01.019, DOI: 10.1039/c4cs00030g",387
74,419,C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,C1COCCO1,395.0,481.0,1.24,0.3,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,420
75,325,Nc1ccccn1,O,,,24.4,0.21,,DOI: 10.1021/j100558a015,326
76,404,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(C)=O,503.0,515.0,,0.8,,https://doi.org/10.1016/j.dyepig.2019.01.019,405
77,471,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CC#N,524.0,638.0,3.57,0.01,4.541579244,doi:10.1016/j.dyepig.2011.05.004,472
78,130,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,615.0,637.0,3.36,0.45,,https://doi.org/10.1016/j.dyepig.2018.04.054,131
79,453,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CC#N,444.0,492.0,,0.42,,doi:10.1016/j.dyepig.2008.12.009,454
80,351,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,374.0,662.0,2.01,0.0046,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,352
81,393,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,503.0,516.0,6.42,0.87,,https://doi.org/10.1016/j.dyepig.2019.01.019,394
82,479,CC(=O)OCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOC(C)=O)C3=O,ClC(Cl)Cl,610.0,640.0,9.6,0.59,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,480
83,362,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClC(Cl)(Cl)Cl,457.0,588.0,8.82,0.326,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,363
84,307,Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,OCCO,,,4.6,0.23,,https://doi.org/10.1016/0022-2313(92)90006-U,308
85,439,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,C1COCCO1,444.0,487.0,,0.52,,doi:10.1016/j.dyepig.2008.12.009,440
86,291,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OC(C(F)(F)F)C(F)(F)F,,,0.94,0.09,,https://doi.org/10.1016/S0009-2614(02)00784-4,292
87,414,CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CCCCCCC,383.0,446.0,,0.023,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,415
88,286,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCO,,,3.91,0.59,,https://doi.org/10.1016/S0009-2614(02)00784-4,287
89,467,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,464.0,538.0,5.78,0.75,4.227886705,doi:10.1016/j.dyepig.2011.05.004,468
90,376,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,483.0,646.0,5.94,0.0538,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,377
91,123,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,417.0,3.289,0.55,4.439332694,https://doi.org/10.1016/j.dyepig.2018.02.012,124
92,308,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C1CCCCC1,408.0,446.0,0.064,0.014,,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2,309
93,8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,389.75,450.0,2.763333333333333,0.41,,"DOI: 10.1021/j100248a024, doi:10.1016/j.dyepig.2006.09.010, https://doi.org/10.1016/j.chemphys.2005.04.018, Fluorophores",9
94,287,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCO,,,3.8,0.58,,https://doi.org/10.1016/S0009-2614(02)00784-4,288
95,288,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCCO,,,2.5,0.39,,https://doi.org/10.1016/S0009-2614(02)00784-4,289
