,Unnamed: 0,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Reference,Tag
96,461,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,471.0,547.0,7.07,0.51,4.204119983,doi:10.1016/j.dyepig.2011.05.004,462
97,433,Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,C1COCCO1,464.0,549.0,,0.28,,doi:10.1016/j.dyepig.2008.12.009,434
98,156,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,497.0,583.0,,0.07,3.909556029,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",157
99,136,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438.0,491.0,1.0,0.1,4.35,https://doi.org/10.1016/j.dyepig.2018.04.037,137
100,135,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374.0,479.0,7.5,0.38,4.37,https://doi.org/10.1016/j.dyepig.2018.04.037,136
101,278,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCOCCCC,,,4.15,0.72,,https://doi.org/10.1016/S0009-2614(02)00784-4,279
102,499,CCCCCCN1C(=O)c2cccc3c(-c4cc5ccccc5s4)ccc(c23)C1=O,ClC(Cl)Cl,378.0,472.0,0.86002868,0.28,4.327,http://dx.doi.org/10.1016/j.dyepig.2012.07.018,500
103,354,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCCCCC,395.0,512.0,1.41,0.0086,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,355
104,103,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,333.0,23.0,0.33,3.87,https://doi.org/10.3390/molecules17055108,104
105,438,Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,C1COCCO1,444.0,478.0,,0.53,,doi:10.1016/j.dyepig.2008.12.009,439
106,361,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCCCCC,442.0,529.0,5.51,0.3918,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,362
107,356,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,Cc1ccccc1,417.0,599.0,3.97,0.1076,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,357
108,190,c1ccc2[nH]ccc2c1,O,276.3333333333333,348.3333333333333,4.49,0.93,3.748533968,"http://www.iss.com/resources/reference/data_tables/FL_LifetimeStandards.html, http://dx.doi.org/10.1016/j.cplett.2017.07.038, doi: 10.3389/fmars.2015.00098",191
109,395,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,500.0,514.0,,0.69,,https://doi.org/10.1016/j.dyepig.2019.01.019,396
110,295,O=c1c2ccccc2sc2ccccc12,c1ccccc1,380.0,,0.26,0.012,3.819543936,https://doi.org/10.1016/0022-2313(92)90006-U,296
111,326,Nc1cccnc1,O,,,21.1,0.16,,DOI: 10.1021/j100558a015,327
112,466,CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,454.0,512.0,6.7,0.31,4.283301229,doi:10.1016/j.dyepig.2011.05.004,467
113,500,CCCCCCN1C(=O)c2cccc3c(-c4cccs4)ccc(c23)C1=O,ClC(Cl)Cl,371.0,465.0,1.91614,0.24,4.155,http://dx.doi.org/10.1016/j.dyepig.2012.07.018,501
114,411,C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,C1COCCO1,356.0,436.0,1.32,0.55,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,412
115,40,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,,,2.48,0.7,,"https://doi.org/10.1111/j.1751-1097.1999.tb08277.x, 10.1021/ac062160k",41
116,155,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,ClCCl,500.0,587.0,,0.12,3.964730921,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",156
117,277,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,ClC(Cl)(Cl)Cl,,,4.1,0.71,,https://doi.org/10.1016/S0009-2614(02)00784-4,278
118,385,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCOC(C)=O,498.0,510.0,3.98,0.58,,https://doi.org/10.1016/j.dyepig.2019.01.019,386
119,316,Nc1ccccn1,CCO,,,5.1,0.18,,DOI: 10.1021/j100558a015,317
120,353,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClCCl,379.0,685.0,0.79,0.0016,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,354
121,446,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CCOC(C)=O,443.0,488.0,3.6,0.44,,doi:10.1016/j.dyepig.2008.12.009,447
122,478,CCCCCCCCCCN1C(=O)c2cc(NCCCOCCO)c3c4c(cc(NCCCOCCO)c(c24)C1=O)C(=O)N(CCCCCCCCCC)C3=O,ClC(Cl)Cl,609.0,640.0,9.7,0.58,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,479
123,497,COc1nnc(Cl)nn1,OCC(F)(F)F,518.0,558.0,,0.26,,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,498
124,448,CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CC#N,441.0,471.0,,0.45,,doi:10.1016/j.dyepig.2008.12.009,449
125,284,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC(C)O,,,4.1,0.61,,https://doi.org/10.1016/S0009-2614(02)00784-4,285
126,207,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,554.0,578.5,1.745,0.2833333333333333,,"10.1021/ac062160k, http://dx.doi.org/10.1016/j.jlumin.2013.07.066, 10.1002/anie.201901061",208
127,486,CC(=O)OCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOC(C)=O)C3=O,O,622.0,657.0,4.4,0.03,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,487
128,74,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522.0,542.0,3.28,0.6,,doi/10.1021/ja00455a017,75
129,314,Nc1ccccn1,C1CCCCC1,,,24.2,0.04,,DOI: 10.1021/j100558a015,315
130,297,O=c1c2ccccc2sc2ccccc12,C1CCOC1,,,0.19,0.012,,https://doi.org/10.1016/0022-2313(92)90006-U,298
131,121,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,633.0,2.5,0.67,4.755874856,https://doi.org/10.1016/j.dyepig.2018.02.016,122
132,144,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437.0,509.0,1.66,0.35,4.033423755,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",145
133,384,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(=O)C(C)(C)C,499.0,511.0,3.39,0.55,,https://doi.org/10.1016/j.dyepig.2019.01.019,385
134,152,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,520.0,609.0,,0.07,3.959041392,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",153
135,17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387.0,473.0,4.52,0.8,,"DOI: 10.1021/j100248a024, http://dx.doi.org/10.1016/j.dyepig.2013.09.008",18
136,315,Nc1ccccn1,CCOCC,,,10.8,0.1,,DOI: 10.1021/j100558a015,316
137,476,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,Cc1ccccc1,520.0,575.0,3.2,0.38,4.64738297,doi:10.1016/j.dyepig.2011.05.004,477
138,401,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,507.0,519.0,6.26,0.71,,https://doi.org/10.1016/j.dyepig.2019.01.019,402
139,129,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580.0,623.0,3.87,0.57,,https://doi.org/10.1016/j.dyepig.2018.04.054,130
140,300,O=c1c2ccccc2sc2ccccc12,CC(C)O,377.0,,3.1,0.14,3.72427587,https://doi.org/10.1016/0022-2313(92)90006-U,301
141,327,Nc1ccncc1,O,,,2.3,0.0005,,DOI: 10.1021/j100558a015,328
142,193,Nc1ccccc1C(=O)O,O,300.0,398.5,8.649999999999999,0.6,,"http://www.iss.com/resources/reference/data_tables/FL_LifetimeStandards.html, DOI: 10.1007/s10895-005-2525-3",194
143,80,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529.0,551.0,3.715,0.76,,doi/10.1021/ja00455a017,81
144,125,ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,419.0,3.019,0.76,4.607883744,https://doi.org/10.1016/j.dyepig.2018.02.012,126
145,328,Nc1cccc[nH+]1,O,,,11.2,0.64,,DOI: 10.1021/j100558a015,329
146,140,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,362.0,485.0,1.5,0.44,3.73,https://doi.org/10.1016/j.dyepig.2018.04.037,141
147,379,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,477.0,,,0.0,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,380
148,449,Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CC#N,443.0,475.0,,0.011,,doi:10.1016/j.dyepig.2008.12.009,450
149,323,Nc1ccncc1,CCO,,,10.3,0.002,,DOI: 10.1021/j100558a015,324
150,120,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,618.0,2.4,0.62,4.763427994,https://doi.org/10.1016/j.dyepig.2018.02.016,121
151,112,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375.0,490.0,2.74,0.35,,https://doi.org/10.1016/S0040-4039(00)01039-X,113
152,398,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,505.0,520.0,,0.64,,https://doi.org/10.1016/j.dyepig.2019.01.019,399
153,309,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,c1ccccc1,418.0,464.0,0.201,0.052,,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2,310
154,418,C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CCCCCCC,393.0,472.0,,0.4,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,419
155,377,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,481.0,679.0,1.09,0.0045,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,378
156,364,O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOCC,443.0,645.0,2.81,0.0129,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,365
157,417,CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CO,394.0,551.0,,0.016,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,418
158,115,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350.0,491.0,4.9,0.12,,https://doi.org/10.1002/chem.201404745,116
159,470,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CC#N,523.0,590.0,3.7,0.2,4.703291378,doi:10.1016/j.dyepig.2011.05.004,471
160,322,Nc1ccncc1,CCOCC,,,17.5,0.0002,,DOI: 10.1021/j100558a015,323
161,400,COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,506.0,520.0,5.77,0.64,,https://doi.org/10.1016/j.dyepig.2019.01.019,401
162,495,C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,OCC(F)(F)F,512.0,560.0,8.5,0.02,,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,496
163,489,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,OCC(F)(F)F,519.0,555.0,151.7,0.26,,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,490
164,116,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,560.0,2.4,0.72,4.77815125,https://doi.org/10.1016/j.dyepig.2018.02.016,117
165,382,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC#N,497.0,508.0,3.81,0.52,,https://doi.org/10.1016/j.dyepig.2019.01.019,383
166,355,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClC(Cl)(Cl)Cl,415.0,562.0,6.23,0.2925,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,356
167,474,CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,Cc1ccccc1,482.0,558.0,6.48,0.29,4.247973266,doi:10.1016/j.dyepig.2011.05.004,475
168,360,Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClCCl,419.0,695.0,,0.0001,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,361
169,113,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398.0,443.0,1.06,0.32,,https://doi.org/10.1016/S0040-4039(00)01039-X,114
170,480,COCCOCCOCCN1C(=O)c2cc(NCCOCCO)c3c4c(cc(NCCOCCO)c(c24)C1=O)C(=O)N(CCOCCOCCOC)C3=O,ClC(Cl)Cl,610.0,640.0,9.6,0.56,,http://dx.doi.org/10.1016/j.dyepig.2014.07.018,481
171,392,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOC(C)=O,502.0,514.0,,0.76,,https://doi.org/10.1016/j.dyepig.2019.01.019,393
172,294,O=c1c2ccccc2sc2ccccc12,CCCCOC(C)=O,,,0.16,0.0078,,https://doi.org/10.1016/0022-2313(92)90006-U,295
173,412,C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CC#N,350.0,492.0,2.52,0.32,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,413
174,464,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CS(C)=O,540.0,603.0,3.45,0.45,4.654176542,doi:10.1016/j.dyepig.2011.05.004,465
175,310,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CC#N,418.0,538.0,0.376,0.075,,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2,311
176,159,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,ClCCl,439.0,497.0,,0.48,4.045322979,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",160
177,107,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,333.0,11.0,0.66,3.88,https://doi.org/10.3390/molecules17055108,108
178,380,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOC(C)=O,472.0,,,0.0,,http://dx.doi.org/10.1016/j.dyepig.2017.05.024,381
179,490,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,ClCCl,519.0,566.0,153.4,0.4,2.819543936,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,491
180,389,COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,499.0,512.0,,0.57,,https://doi.org/10.1016/j.dyepig.2019.01.019,390
181,492,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOc1nnc(Cl)nn1,ClCCl,519.0,552.0,153.8,0.44,2.949390007,http://dx.doi.org/10.1016/j.dyepig.2014.03.031,493
182,126,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,343.0,463.0,1.228,0.82,4.897077003,https://doi.org/10.1016/j.dyepig.2018.02.012,127
183,408,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCCCCC,505.0,520.0,6.35,0.95,,https://doi.org/10.1016/j.dyepig.2019.01.019,409
184,281,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CN(C)C=O,,,4.35,0.73,,https://doi.org/10.1016/S0009-2614(02)00784-4,282
185,157,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,432.0,486.0,,0.59,4.029383778,"https://doi.org/10.1016/j.dyepig.2016.11.056, http://dx.doi.org/10.1016/j.dyepig.2016.11.056",158
186,280,CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCC#N,,,4.54,0.77,,https://doi.org/10.1016/S0009-2614(02)00784-4,281
187,463,CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,516.0,601.0,6.7,0.12,4.507855872,doi:10.1016/j.dyepig.2011.05.004,464
188,426,Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,455.0,540.0,,0.24,,doi:10.1016/j.dyepig.2008.12.009,427
189,72,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521.0,534.0,0.115,0.02,,doi/10.1021/ja00455a017,73
190,410,C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CCCCCCC,360.0,382.0,,0.78,,http://dx.doi.org/10.1016/j.dyepig.2015.08.018,411
191,472,CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,462.0,520.0,5.93,0.36,4.267171728,doi:10.1016/j.dyepig.2011.05.004,473
192,407,COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,C1CCOC1,506.0,517.0,5.7,0.78,,https://doi.org/10.1016/j.dyepig.2019.01.019,408
193,312,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CN(C)C=O,430.0,542.0,0.194,0.022,,http://doi.org.ssl.oca.korea.ac.kr/10.1562/0031-8655(2000)0720625EOSOTE2.0.CO2,313
194,134,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0,682.0,0.4731,0.03,4.819346484,http://dx.doi.org/10.1016/j.dyepig.2015.03.004,135
195,387,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,501.0,511.0,3.37,0.56,,"https://doi.org/10.1016/j.dyepig.2019.01.019, https://doi.org/10.1007/s10895-019-02349-5",388
